"","R1","R2","R3","R4","R5"
"ANDROS",0,0,0,NA,NA
"BARKER",1,1,NA,NA,NA
"BEARPD-01",0,0,NA,NA,NA
"BEARPD-02",0,0,NA,NA,NA
"BOOMBR",0,0,NA,NA,NA
"BRADPD-01",0,0,0,NA,NA
"BRADPD-02",0,0,0,NA,NA
"BROBRK",0,0,NA,NA,NA
"BUCKBR",1,1,1,NA,NA
"BUFFBR",0,0,0,NA,NA
"BURNPD-01",0,0,NA,NA,NA
"BURNPD-02",0,0,NA,NA,NA
"CARBRK",0,0,0,NA,NA
"CHANBR",0,0,0,NA,NA
"COLCPD-01",0,0,0,NA,NA
"COLCPD-02",0,0,0,NA,NA
"CRESLK-01",1,1,0,NA,NA
"CRESLK-02",0,1,0,NA,NA
"CRESLK-03",0,0,0,NA,NA
"CROOKN",0,0,0,NA,NA
"CROOKR",0,0,NA,NA,NA
"CROOKS",0,0,0,NA,NA
"DINGLY",0,0,0,NA,NA
"DUCKIN",0,0,0,NA,NA
"DUCKNO",0,0,0,NA,NA
"EDDYBR",0,0,0,NA,NA
"GRTBRK",0,0,0,NA,NA
"GWORKB",0,0,NA,NA,NA
"GWORKN",0,0,NA,NA,NA
"GWORKS",0,0,NA,NA,NA
"HEATH-01",0,0,0,NA,NA
"HEATH-02",0,0,0,NA,NA
"HIGHLK-02",0,0,NA,NA,NA
"HIGHLK-03",0,0,NA,NA,NA
"HIGHLK-04",1,0,NA,NA,NA
"INGALS-01",0,0,0,NA,NA
"INGALS-02",0,0,0,NA,NA
"JORDAN",0,0,NA,NA,NA
"JOSIES",0,0,NA,NA,NA
"KIMBAL",1,0,NA,NA,NA
"LITTLR",0,0,NA,NA,NA
"MARBRK",0,0,NA,NA,NA
"MARRPD-01",0,0,0,NA,NA
"MARRPD-02",0,0,0,NA,NA
"MEADBR",0,0,0,NA,NA
"MERRIL",0,0,0,NA,NA
"MOSQPD",0,0,0,NA,NA
"MUDNO",0,1,0,NA,NA
"MUDSO",0,0,0,NA,NA
"OCSACO",0,0,NA,NA,NA
"OSSIPE",0,0,NA,NA,NA
"OSSIPM",0,0,NA,NA,NA
"OSSIPR",0,0,0,NA,NA
"OTTER-01",0,0,0,NA,NA
"OTTER-02",0,0,0,NA,NA
"PANTHR-01",1,0,0,NA,NA
"PANTHR-02",0,0,0,NA,NA
"PANTHR-03",0,0,0,NA,NA
"PISCAT",0,0,NA,NA,NA
"PISCDN",0,0,0,NA,NA
"PISCUP",0,0,0,NA,NA
"PRESBG",0,0,0,NA,NA
"PRESUM-01",1,NA,NA,NA,NA
"PRESUM-02",0,NA,NA,NA,NA
"PROCPD-01",0,0,NA,NA,NA
"PROCPD-02",0,0,NA,NA,NA
"RACHEL",0,0,0,NA,NA
"RANGE-01",0,0,0,NA,NA
"RANGE-02",0,0,0,NA,NA
"REDBRK",0,0,0,NA,NA
"RIDGEB",0,0,0,NA,NA
"ROYAL",0,0,0,NA,NA
"SACONO-01",0,0,NA,NA,NA
"SACONO-02",0,0,NA,NA,NA
"SACONO-03",0,0,0,0,0
"SACOSO",0,0,NA,NA,NA
"SEBAGO-01",0,0,NA,NA,NA
"SEBAGO-03",0,0,NA,NA,NA
"SEBAGO-04",0,0,NA,NA,NA
"SEBAGO-06",0,0,NA,NA,NA
"SFALLS",0,0,NA,NA,NA
"SHEPR",0,0,0,NA,NA
"SOKOLK-01",0,0,0,NA,NA
"SOKOLK-02",0,0,0,NA,NA
"SOKOLK-03",0,0,0,NA,NA
"SOPER",0,0,0,NA,NA
"SPECPD",0,0,NA,NA,NA
"STANPD-01",0,0,NA,NA,NA
"STANPD-02",0,0,NA,NA,NA
"SYMMES-01",0,0,0,NA,NA
"SYMMES-02",0,0,0,NA,NA
"TRAFPD-01",0,0,NA,NA,NA
"WATBRK",0,NA,NA,NA,NA
